Title,Description,URL,Published At
"Trump, Appealing to Bitcoin Fans, Vows U.S. Will Be ‘Crypto Capital of the Planet’ - The New York Times",,https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDcvMjcvdXMvcG9saXRpY3MvdHJ1bXAtYml0Y29pbi1jcnlwdG8uaHRtbNIBAA?oc=5,2024-07-28T02:22:34Z
Bitcoin 2024: US Senator Fights To Bring Crypto Back Into The Communities - Bitcoinist,,https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vYml0Y29pbmlzdC5jb20vYml0Y29pbi0yMDI0LXVzLXNlbmF0b3ItZmlnaHRzLXRvLWJyaW5nLWNyeXB0by1iYWNrLWludG8tdGhlLWNvbW11bml0aWVzL9IBZGh0dHBzOi8vYml0Y29pbmlzdC5jb20vYml0Y29pbi0yMDI0LXVzLXNlbmF0b3ItZmlnaHRzLXRvLWJyaW5nLWNyeXB0by1iYWNrLWludG8tdGhlLWNvbW11bml0aWVzL2FtcC8?oc=5,2024-07-28T00:00:50Z
Elderly couple files first lawsuit in Boar’s Head’s multistate listeria outbreak over ‘damage to the marital relationship’ - New York Post ,,https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vbnlwb3N0LmNvbS8yMDI0LzA3LzI3L3VzLW5ld3MvYm9hcnMtaGVhZHMtc3VlZC1vdmVyLW11bHRpc3RhdGUtbGlzdGVyaWEtb3V0YnJlYWsv0gEA?oc=5,2024-07-27T21:55:00Z
HERE: National Chicken Wing Day deals for July 29 - KTLA Los Angeles,,https://news.google.com/rss/articles/CBMiU2h0dHBzOi8va3RsYS5jb20vbmV3cy9uYXRpb253b3JsZC9oZXJlLW5hdGlvbmFsLWNoaWNrZW4td2luZy1kYXktZGVhbHMtZm9yLWp1bHktMjkv0gFXaHR0cHM6Ly9rdGxhLmNvbS9uZXdzL25hdGlvbndvcmxkL2hlcmUtbmF0aW9uYWwtY2hpY2tlbi13aW5nLWRheS1kZWFscy1mb3ItanVseS0yOS9hbXAv?oc=5,2024-07-27T21:47:25Z
"Mega Millions lottery ticket worth $415,055 sold at La Palma liquor store - KABC-TV",,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vYWJjNy5jb20vcG9zdC9tZWdhLW1pbGxpb25zLWxvdHRlcnktdGlja2V0LXdvcnRoLTQxNTA1NS1zb2xkLW9yYW5nZS8xNTEwNTg1Ni_SAQA?oc=5,2024-07-27T20:58:36Z
FDA says patients may be overdosing on some weight loss drugs - Business Insider,,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LmJ1c2luZXNzaW5zaWRlci5jb20vaW5qZWN0YWJsZS13ZWlnaHQtbG9zcy1kcnVncy1vdmVyZG9zZS1jb21wb3VuZGVkLXNlbWFnbHV0aWRlLW96ZW1waWMtd2Vnb3Z5LWZkYS0yMDI0LTfSAXpodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuY29tL2luamVjdGFibGUtd2VpZ2h0LWxvc3MtZHJ1Z3Mtb3ZlcmRvc2UtY29tcG91bmRlZC1zZW1hZ2x1dGlkZS1vemVtcGljLXdlZ292eS1mZGEtMjAyNC03P2FtcA?oc=5,2024-07-27T20:26:00Z
How sober bars are redefining nightlife - CNN,,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNy8yNy91cy9zb2Jlci1iYXJzLW1vY2t0YWlscy1hbGNvaG9sLWZyZWUtd2VsbG5lc3MtY2VjL2luZGV4Lmh0bWzSAVRodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDI0LzA3LzI3L3VzL3NvYmVyLWJhcnMtbW9ja3RhaWxzLWFsY29ob2wtZnJlZS13ZWxsbmVzcy1jZWM?oc=5,2024-07-27T19:22:00Z
"Like ‘little bombs,’ soda cans are exploding on Southwest flights. Here’s why - CNN",,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNy8yNy93ZWF0aGVyL3NvdXRod2VzdC1haXJsaW5lcy1zb2RhLWNhbnMtaGVhdC1jbGltYXRlL2luZGV4Lmh0bWzSAVRodHRwczovL2FtcC5jbm4uY29tL2Nubi8yMDI0LzA3LzI3L3dlYXRoZXIvc291dGh3ZXN0LWFpcmxpbmVzLXNvZGEtY2Fucy1oZWF0LWNsaW1hdGU?oc=5,2024-07-27T19:00:00Z
What A Second Trump Presidency Would Mean For Elon Musk And His Many Ventures - Benzinga,,https://news.google.com/rss/articles/CBMiemh0dHBzOi8vd3d3LmJlbnppbmdhLmNvbS9uZXdzLzI0LzA3LzM5OTk5NDEwL3doYXQtYS1zZWNvbmQtdHJ1bXAtcHJlc2lkZW5jeS13b3VsZC1tZWFuLWZvci1lbG9uLW11c2stYW5kLWhpcy1tYW55LXZlbnR1cmVz0gEA?oc=5,2024-07-27T18:40:19Z
"Best and worst states to retire in America, according to a new report - Fox Business","Bankrate ranked all 50 U.S. states in its report on the best and worst locations to retire. One state was given the top ranking, while another location landed at the bottom of the list.",https://www.foxbusiness.com/lifestyle/best-worst-states-retire-america-report,2024-07-27T18:31:00Z
